,number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_l1,params_l2,params_lstm_out,state
0,0,0.5381604433059692,2024-04-14 06:31:54.111023,2024-04-14 06:32:25.901993,0 days 00:00:31.790970,0.09485529883359053,224,0.008950823694632098,0.008666573863592406,60,COMPLETE
1,1,0.5772994160652161,2024-04-14 06:32:25.903990,2024-04-14 06:33:02.354992,0 days 00:00:36.451002,0.09599041760036989,208,0.005135466207769069,0.009472689498146093,60,COMPLETE
2,2,0.4357469081878662,2024-04-14 06:33:02.356991,2024-04-14 06:33:15.977019,0 days 00:00:13.620028,0.08198625591760994,224,0.008593122822147747,0.00873912860914736,64,PRUNED
3,3,0.5110893845558167,2024-04-14 06:33:15.978993,2024-04-14 06:33:39.137019,0 days 00:00:23.158026,0.23296725697389184,224,0.009103920329124542,0.005007729210242933,64,PRUNED
4,4,0.56294846534729,2024-04-14 06:33:39.138993,2024-04-14 06:34:05.949993,0 days 00:00:26.811000,0.008332646252410814,192,0.007656229656118073,0.008797175791206473,52,COMPLETE
5,5,0.4275929629802704,2024-04-14 06:34:05.952991,2024-04-14 06:34:13.474020,0 days 00:00:07.521029,0.24031703420017062,224,0.004614814102362468,0.009965515434151152,56,PRUNED
6,6,0.4895629584789276,2024-04-14 06:34:13.476991,2024-04-14 06:34:23.943990,0 days 00:00:10.466999,0.23268396045104628,208,0.0074297065097453825,0.0074942493165761175,48,PRUNED
7,7,0.38388779759407043,2024-04-14 06:34:23.945992,2024-04-14 06:34:29.556987,0 days 00:00:05.610995,0.07150113718029752,256,0.007353069392467946,0.005403641617115054,48,PRUNED
8,8,0.4664057493209839,2024-04-14 06:34:29.558997,2024-04-14 06:34:37.399007,0 days 00:00:07.840010,0.24445209373048712,208,0.008718147353449796,0.0072127147423287265,40,PRUNED
9,9,0.5701239109039307,2024-04-14 06:34:37.400992,2024-04-14 06:35:12.225991,0 days 00:00:34.824999,0.03732158362634694,256,0.003707246068039845,0.006392088892555864,64,COMPLETE
10,10,0.3851924240589142,2024-04-14 06:35:12.227994,2024-04-14 06:35:17.774996,0 days 00:00:05.547002,0.14829122372409437,176,0.005498213976298199,0.009808063185928403,56,PRUNED
11,11,0.4073711633682251,2024-04-14 06:35:17.775992,2024-04-14 06:35:22.938995,0 days 00:00:05.163003,0.014719138593542326,256,0.0037452549837719115,0.0066874948006622964,64,PRUNED
12,12,0.4073711633682251,2024-04-14 06:35:22.940993,2024-04-14 06:35:29.101033,0 days 00:00:06.160040,0.14241137510502572,160,0.0031055011723693736,0.006238721289352871,60,PRUNED
13,13,0.4073711633682251,2024-04-14 06:35:29.103993,2024-04-14 06:35:35.693033,0 days 00:00:06.589040,0.043786350714345834,240,0.005481071145893828,0.006028319769281477,60,PRUNED
14,14,0.5560991764068604,2024-04-14 06:35:35.695995,2024-04-14 06:36:04.199029,0 days 00:00:28.503034,0.17969942417632817,192,0.00462269781055166,0.008126087318626718,56,COMPLETE
15,15,0.4243313670158386,2024-04-14 06:36:04.201999,2024-04-14 06:36:09.505020,0 days 00:00:05.303021,0.04802322420483181,240,0.005798939727879522,0.0068443183991420626,64,PRUNED
16,16,0.4073711633682251,2024-04-14 06:36:09.506992,2024-04-14 06:36:14.514023,0 days 00:00:05.007031,0.1117353791634885,192,0.004262022467818705,0.008017738119699542,40,PRUNED
17,17,0.4073711633682251,2024-04-14 06:36:14.515991,2024-04-14 06:36:19.726020,0 days 00:00:05.210029,0.04745804113901497,240,0.006329723634004415,0.005741842768121393,60,PRUNED
18,18,0.5606653690338135,2024-04-14 06:36:19.727993,2024-04-14 06:36:41.870034,0 days 00:00:22.142041,0.17400698821160504,208,0.003045749174012588,0.009483537055000052,52,PRUNED
19,19,0.40769731998443604,2024-04-14 06:36:41.872999,2024-04-14 06:36:47.301987,0 days 00:00:05.428988,0.11358278646994713,160,0.0039328460761718165,0.007991767864745121,48,PRUNED
20,20,0.5208740830421448,2024-04-14 06:36:47.304990,2024-04-14 06:37:02.918002,0 days 00:00:15.613012,0.026232308272831212,176,0.00502858280514522,0.006610317833902917,56,PRUNED
21,21,0.38388779759407043,2024-04-14 06:37:02.919993,2024-04-14 06:37:07.543032,0 days 00:00:04.623039,0.008069466420787241,192,0.007419273810263289,0.009079121997284192,52,PRUNED
22,22,0.5058708190917969,2024-04-14 06:37:07.544993,2024-04-14 06:37:16.131018,0 days 00:00:08.586025,0.0007168617622783369,176,0.00985721840591992,0.009101067289169566,44,PRUNED
23,23,0.4073711633682251,2024-04-14 06:37:16.132991,2024-04-14 06:37:21.280023,0 days 00:00:05.147032,0.06876303758967366,192,0.006635916582346462,0.009381601211536495,52,PRUNED
24,24,0.4099804162979126,2024-04-14 06:37:21.281992,2024-04-14 06:37:26.568037,0 days 00:00:05.286045,0.0313296644120879,208,0.007921763432168726,0.008659225595388434,60,PRUNED
25,25,0.4073711633682251,2024-04-14 06:37:26.570994,2024-04-14 06:37:32.337034,0 days 00:00:05.766040,0.053834576704327085,208,0.0066076334702260655,0.007666107360733201,56,PRUNED
26,26,0.4507501721382141,2024-04-14 06:37:32.339995,2024-04-14 06:37:43.016992,0 days 00:00:10.676997,0.09025601893383835,192,0.005980460383627474,0.008508669437113371,64,PRUNED
27,27,0.4073711633682251,2024-04-14 06:37:43.019993,2024-04-14 06:37:47.272019,0 days 00:00:04.252026,0.024374426980088418,176,0.00501616679632454,0.009526763549572935,44,PRUNED
28,28,0.38943248987197876,2024-04-14 06:37:47.273991,2024-04-14 06:37:53.174042,0 days 00:00:05.900051,0.0743213721674529,256,0.0035451914528437534,0.007200372364221769,52,PRUNED
29,29,0.42465752363204956,2024-04-14 06:37:53.176998,2024-04-14 06:37:58.454030,0 days 00:00:05.277032,0.1006419787875593,240,0.006933186960402694,0.008330432213581228,60,PRUNED
